,ID,Name,Year,Rank,Average,Bayes average,Users rated,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
0,174430,Gloomhaven,2017,1,8.74,8.51,47555,291457,295770,96848,255984,180263,162886
1,161936,Pandemic Legacy: Season 1,2015,2,8.6,8.44,44877,221107,314040,239188,224037,266507,198928
2,224517,Brass: Birmingham,2018,3,8.67,8.42,25216,220308,251247,167791,341169,125153,284378
3,167791,Terraforming Mars,2016,4,8.42,8.27,73742,341169,169786,316554,224517,183394,193738
4,233078,Twilight Imperium: Fourth Edition,2017,5,8.68,8.26,15911,246900,187645,205896,237182,283355,169786
5,291457,Gloomhaven: Jaws of the Lion,2020,6,8.69,8.25,15543,174430,255984,162886,285192,269385,295770
6,220308,Gaia Project,2017,7,8.48,8.18,19033,251247,224517,193738,317985,120677,177736
7,187645,Star Wars: Rebellion,2016,8,8.42,8.17,25443,233078,115746,246900,233247,271896,169786
8,182028,Through the Ages: A New Story of Civilization,2015,9,8.39,8.15,25507,220308,120677,167791,224517,193738,169786
9,115746,War of the Ring: Second Edition,2012,10,8.51,8.13,15395,187645,175155,233078,362944,135219,283355
10,162886,Spirit Island,2017,11,8.36,8.13,31845,169786,316554,237182,329082,284653,361545
11,193738,Great Western Trail,2016,12,8.29,8.12,32814,126163,177736,216132,120677,124361,102794
12,12333,Twilight Struggle,2005,13,8.28,8.12,42966,27708,25021,62219,177590,111799,182028
13,169786,Scythe,2016,14,8.22,8.06,64229,316554,167791,170216,237182,183394,162886
14,84876,The Castles of Burgundy,2011,15,8.13,8.01,50374,126163,102794,193738,177736,124361,216132
15,173346,7 Wonders Duel,2015,16,8.11,7.98,68942,262712,271324,266192,163412,230802,293014
16,167355,Nemesis,2018,17,8.39,7.98,17441,310100,340466,253344,285967,187645,233078
17,120677,Terra Mystica,2012,18,8.12,7.97,41694,193738,31260,144733,220308,122515,182028
18,124361,Concordia,2013,19,8.12,7.97,31337,122515,73439,193738,35677,126163,84876
19,28720,Brass: Lancashire,2007,20,8.18,7.96,20861,122515,43015,175914,62219,124361,256730
20,177736,A Feast for Odin,2016,21,8.2,7.95,19927,102794,193738,317985,229853,216132,126163
21,316554,Dune: Imperium,2020,22,8.32,7.94,14395,169786,167791,341169,183394,162886,224517
22,266192,Wingspan,2019,23,8.1,7.94,55347,266524,312484,281259,230802,244521,173346
23,205637,Arkham Horror: The Card Game,2016,24,8.16,7.93,32811,359609,257499,146021,205059,269385,291457
24,183394,Viticulture Essential Edition,2015,25,8.06,7.89,34480,342942,341169,312484,167791,170042,286096
